Afro-Eurasia
Chandigarhi
Chandigarhis
Chhattisgarh
Chhattisgarhi
Chhattisgarhis
Dadra and Nagar Haveli and Daman and Diu
Dadran
Nagar Havelian
Damanese
Diuese
Dadran
Nagar Havelian
Damanese
Diuese
Delhi
Delhiite
Delhian
Delhiites
Delhians
Goa
Goan
Goenkar
Goans
Goenkars
Gujarat
Gujarati
Gujaratis
Haryana
Haryanvi
Haryanvis
Himachal Pradesh
Himachali
Himachalis
Jammu and Kashmir
Jammu
Kashmiri
Jammuite
Kashimiris
Jharkhand
Jharkhandi
Jharkhandis
Karnataka
Karnatakan
Canarese
Karnatakans
Canarese
Kannadiga
Kerala
Keralite
Keralites
Malayalis
Ladakh
Ladakhi
Ladakhi
Lakshadweep
Laccadives
Laccadivian
Laccadivians
Madhya Pradesh
Madhya Pradeshi
Madhya Pradeshis
Maharashtra
Maharashtrian
Maharashtrians
Marathi
Manipur
Manipuri
Manipuris
Meghalaya
Meghalayan
Meghalayans
Mizoram
Mizo
Mizos
Nagaland
Naga
Nagalandese
Nagas
Odisha
Odia
Odia
Odishan
Orissan
Odissi
Orissi
Odias
Odias
Odishans
Orissans
Puducherry
Pondicherry
Pondicherrian
Pondicherrians
Punjab
Punjabi
Punjabis
Rajasthan
Rajasthani
Rajasthanis
Sikkim
Sikkimese
Sikkimese
Tamil Nadu
Tamil
Tamilian
Tamils
Tamilians
Telangana
Telanganite
Telanganites
Teluguvaaru
Tripura
Tripuri
Tripuran
Tripuris
Tripurans
Uttar Pradesh
Uttar Pradeshi
Uttar Pradeshis
Uttarakhand
Uttarakhandi
Uttarakhandis
West Bengal
West Bengali
West Bengalese
West Bengalis
Barisal Division
Barisali
Barisali
Borishali
Barisailla
Borishailla
Chittagong Division
Chittagonian
Chãtgaiya
Satgaiya
Chittagainga
Sitainga
Dhaka Division
Dhakai
Dhakaiya
Dhakaiya
Khulna Division
Khulnaiya
Khulnaiya
Khulnaiya
Mymensingh Division
Mymensinghiya
Mymensinghi
Mymensinghiya
Rajshahi Division
Rajshahiya
Rajshahiya
Rajshahiyo
Rajshahiya
Rangpur Division
Rangpuri
Rangpuri
Rongpuri
Rangpuri
Sylhet Division
Sylheti
Sylheti
Sileti
Siloti
Johor
Johorean
Johoreans
Southerners
Kedah
Kedahan
Kedahans
Kelantan
Kelantanese
Kelantanese
East Coasters
Kuala Lumpur
Kuala Lumpurian
Kuala Lumpurians
Federal Territorians
KL-ites
Labuan
Labuanese
Labuanese
Federal Territorians
Malacca
Malaccan
Malaccans
Negeri Sembilan
Negeri Sembilanese
Negeri Sembilanese
Negrians
Pahang
Pahangite
Pahangites
Penang
Penangite
Penangites
Penang Islanders
Perak
Perakian
Perakians
Perlis
Perlisian
Perlisians
Putrajaya
Putrajayan
Putrajayans
Federal Territorians
Sabah
Sabahan
Sabahans
Borneoans
Sarawak
Sarawakian
Sarawakians
Borneoans
Selangor
Selangorean
Selangoreans
Terengganu
Terengganuan
Terengganuans
East Coasters
Peninsular
West Malaysia
Peninsular
West Malaysian
Peninsularians
West Malaysians
Malayans
East Malaysia
East Malaysian
East Malaysians
Borneoans
Aguascalientes
Hydrocalid
Hidrocálido
aguascalentense
Baja California
Lower Californian
Bajacaliforniano
Baja California Sur
South Lower Californian
Sudcaliforniano
Campeche
Campechan
Campechano
Chiapas
Chiapan
Chiapaneco
Chihuahua
Chihuahuan
Chihuahuense
Norteño
Coahuila de Zaragoza
Coahuilan
Coahuilense
Colima
Colimean
Colimense
Durango
Durangolese
Duranguense
Guanajuato
Guanajuatean
Guanajuatense
Guerrero
Guerreran
Guerrerense
Hidalgo
Hidalgolese
Hidalguense
Jalisco
Jaliscan
Jalisciense
Jalisquillo Tapatio
Tapatia
State of Mexico
Mexican
Mexiquense
Ciudad de México
México D.
México Distrito Federal
Mexico City
Defeño
Chilango
Michoacán
Michoacanese
Michoacano
Morelos
Morelese
Morelense
Nayarit
Nayarita
Nayarita
Nuevo León
New Leonese
Neoleonés
Neoleonense
Regio
Oaxaca
Oaxacan
Oaxaqueño
Oaxaco
Puebla
Pueblan
Poblano
Poblano
Querétaro
Queretan
Queretano
Quintana Roo
Quintanaroan
Quintanarroense
San Luis Potosí
Potosinian
Potosino
Sinaloa
Sinaloan
Sinaloense
Sonora
Sonoran
Sonorense
Tabasco
Tabascan
Tabasqueño
Tamaulipas
Tamaulipan
Tamaulipeco
Tlaxcala
Tlaxcaltheque
Tlaxcalteco
Veracruz
Veracruzan
Veracruzano
Jarocho
Yucatán
Yucatheque
Yucateco
Costeño
Zacatecas
Zacatecan
Zacatecano
Auckland Region
Auckland
Aucklanders
Jafas
Bay of Plenty Region
Bay of Plenty
Bay of Plentiers
BOPians
Canterbury Region
Canterbury
Cantabrians
Cantabs
Gisborne Region
Gisborne
East Coast
Gisbornians
East Coasters
Hawke's Bay Region
Hawke's Bay
Hawke's Bayers
Manawatū-Whanganui Region
Manawatū-Whanganui
Manawatu
Wanganui
Manawatū-Whanganuians
Manawatuans
Whanganuians
Marlborough Region
Marlborough
Marlburians
Nelson Region
Nelsonian
Nelsonians
Northland Region
Northland
Northlanders
Otago Region
Otago
Otagoites
Southland Region
Southland
Southlanders
Taranaki Region
Taranaki
Taranakians
Nakians
Tasman Region
Tasman
Tasmanites
Waikato Region
Waikato
Waikatoans
Mooloos
Wellington Region
Wellington
Wellingtonian
Wellingtonians
West Coast Region
West Coast
West Coasters
Coasters
North Island
North Island
North Islanders
South Island
South Island
Mainland
South Islanders
Mainlanders
Stewart Island
Stewart Island
Rakiuran
Stewart Islanders
Chatham Islands
Chatham
Chatham Islanders
Acarnania
Acarnanian
Acarnanians
Achaea
Achaean
Achaeans
Aegina
Aeginetan
Aeginetans
Aethaea
Aethaean
Aethaeans
Aetolia
Aetolian
Aetolians
Andalusia
Andalusian
Andalusians
Apulia
Apulian
Apulians
Aquitania
Aquitanian
Aquitanians
Arcadia
Arcadian
Arcadians
Argos
Argive
Argives
Arretium
Arretine
Arretines
Athens
Athenian
Athenians
Bactria
Bactriana
Bactrian
Bactrians
Bavaria
Bavarian
Bavarians
Boeotia
Boeotian
Beotian
Boeotians
Beotians
Boiohaemum
Boius
Boii
Bosporus
Bosphorus
Bosporan
Bosphoran
Bosporans
Bosphorans
Bruttium
Bruttus ?
Bruttian
Brutti
Bruttians
Byzantium
Byzantine
Byzantines
Calabria
Calabrian
Calabrians
Campania
Campanian
Campanians
Cantabria
Cantabrian
Cantabrians
Caria
Carian
Carians
Carthage
Carthaginian
Carthaginians
Carystus
Carystian
Carystians
Catalonia
Catalan
Catalonian
Catalans
Catalonians
Cephalonia
Cephalonian
Cephalonians
Chalcis
Chalcidian
Chalcidians
Chios
Chiot
Chiots
Colchis
Colchian
Colchians
Colossae
Colossian
Colossians
Consentia
Consentian
Consentians
Corcyra
Corcyrean
Corcyreans
Corsica
Corsican
Corsicans
Crete
Cretan
Cretans
Croton
Crotonian
Crotonians
Cyclades
Cycladian
Cycladians
Cyprus
Cypriot
Cypriote
Cypriots
Cypriotes
Cyrenaica
Cyrenaic
Cyrenaics
Cyrene
Cyrenian
Cyrenians
Dacia
Dacian
Dacians
Dalmatia
Dalmatian
Dalmatians
Delos
Delian
Delians
Dodecanese
Dodecanesian
Dodecanesians
Edonia
Edonian
Edonians
Egesta
Egestan
Egestans
Eleusina
Eleusis
Eleusian
Eleusinian
Eleusians
Eleusinians
Elis
Eleia
Elian
Elians
Ephesus
Ephesian
Ephesians
Epidamnus
Epidamnos
Epidamnian
Epidamnians
Epidaurus
Epidaurian
Epidaurians
Epirus
Epirote
Epirotes
Eretria
Eretrian
Eretrians
Etruria
Etrurian
Etruscan
Etruscans
Euboea
Euboean
Euboeans
Galatia
Galatian
Galatians
Gallaecia
Gallaecus
Gallaeci
Gallia
Gaul
Gaulish
Gauls
Germania
Germanic
Germanus
Germanic
Germani
Iberia
Iberian
Iberians
Illyria
Illyrian
Illyrians
Ionia
Ionian
Ionians
Kalymnos
Kalymnian
Kalymnians
Kaulonia
Kaulonian
Kaulonians
Knossos
Knossian
Knossians
Lakedaimon
ia
Lakedaemon
ia
Lakedaimonian
Lakedaemonian
Lakedaimonians
Lakedaemonians
Larissa
Larissan
Larissans
Latium
Latin
Latins
Leontini
Leontium
Leontinian
Leontinians
Lesbos
Lesbian
Lesbians
Locris
Locrian
Locrians
Lucania
Lucanian
Lucanians
Lydia
Lydian
Lydians
Macedonia
Macedonian
Macedonians
Maeonia
Maeonian
Maeonians
Mantineia
Mantinean
Mantineans
Marathon
Marathonian
Marathonians
Media
Median
Medes
Medians
Megara
Megarian
Megarians
Melite
Melitian
Melitians
Melos
Melian
Melians
Mesopotamia
Mesopotamian
Mesopotamians
Messenia
Messenian
Messenians
Miletus
Milesian
Milesians
Mithymna
Methymna
Methymnian
Methymnians
Moravia
Moravian
Moravians
Mycenae
Mycenaean
Mycenaeans
Mytilene
Mytilenean
Mytileneans
Naupactus
Nafpaktos
Naupactian
Naupactians
Naxos
Naxian
Naxians
Nisyros
Nisyrian
Nisyrians
Oea
Oean
Oeans
Olympia
Olympian
Olympians
Oiniades
Oiniadai
Oiniadan
Oiniadans
Orkney Islands
Orcadian
Orcadians
Paeonia
Paionia
Paeonian
Paeonians
Pamphylia
Pamphylian
Pamphylians
Paros
Parian
Parians
Patmos
Patmian
Patmians
Peloponnese
Peloponnesian
Peloponnesians
Pergamum
Pergamian
Pergamians
Persia
Persian
Persians
Philippi
Philippian
Philippians
Phlius
Phliasian
Phliasians
Phocis
Phocian
Phocians
Phoenicia
Phoenician
Phoenicians
Phrygia
Phrygian
Phrygians
Pisidia
Pisidian
Pisidians
Pontus
Pontian
Pontians
Pylos
Pylosian
Pylosians
Rhegion
Rhegian
Rhegine
Rhegians
Rhegines
Rhodes
Rhodian
Rhodians
Rhithymna
Rhithymnia
Rithymna
Rhithymnian
Rhithymnians
Rome
Roman
Romans
Sabinum
Sabine
Sabines
Salamis
Salaminian
Salaminians
Samnium
Samnite
Samnites
Samos
Samian
Samians
Sardinia
Sardinian
Sardi
Sardinians
Sardi
Sardis
Sardianus
Sardian
Sardiani
Sardians
Sarmatia
Sarmatian
Sarmata
Sauromata
Sarmatians
Sarmatae
Sauromatae
Scythia
Scytha
Scythian
Scythae
Scythians
Serrae
Serrhae
Serrean
Serreans
Serica
Sere
Seres
Sicily
Sicilian
Sicilians
Sicyon
Sicyonian
Sicyonian
Sidon
Saïda
Sidonian
Sidonians
Silesia
Silesian
Silesians
Skopelos
Skopelitan
Skopelitans
Sparta
Spartan
Spartans
Suebia
Suebius
Suebi
Symi
Symian
Symians
Syracuse
Syracusan
Syracusans
Taras
Tarentum
Tarentine
Tarentumian
Tarentines
Tarentumians
Tegea
Tegean
Tegeans
Tenedos
Tenedian
Tenedians
Tenedos
Tenedian
Tenedians
Thasos
Thasian
Thasians
Thebes
Theban
Thebans
Thespis
Thespian
Thespians
Thessaly
Thessalian
Thessalians
Thrace
Thracian
Thracians
Thria
Thriasian
Thriasians
Thuria
Thuriat
Thuriats
Thurii
Thurian
Thurians
Thynia
Thynian
Thynians
Trichonos
Trichonian
Trichonians
Troezen
Troezenian
Troezenians
Troy
Trojan
Trojans
Umbria
Umbrian
Umbrians
Xanthi
Xanthian
Xanthians
Zakynthos
Zakynthian
Zakynthians
Abra
Abrenian
Abreño
Agusan del Norte
North Agusanian
Agusanon
Agusan del Sur
South Agusanian
Agusanon
Aklan
Aklan
Aklanon
Aklanese
Aklanon
Akeanon*
Albay
Albay
Albayan
Albayano
Albayano
Antique
Antiquenian
Antiqueño
Antiqueño
Apayao
Apayao
Apayaonian
Apayao
Aurora
Auroran
Auroran
Basilan
Basilan
Basileño
Basilanese
Basileño
Bataan
Bataan
Bataanese
Bataeño
Bataeño
Batanes
Batanic
Ivatan
Ivatanic
Ivatan
Batangas
Batangan
Batangueño
Batangueño
Benguet
Benguet
Benguetian
Benguet
Igorot 1
Biliran
Biliran
Biliranian
Biliranon
Bohol
Boholan
Boholano
Boholano
Bolnon*
Bukidnon
Bukidnon
Bukidnon
Bulacan
Bulacan
Bulaqueño
Bulacanese
Bulaqueño
Cagayan
Cagayan
Cagayano
Cagayanese
Cagayano
Camarines Norte
North Camarinean
Camarinense
Camarinense
Camarines Sur
South Camarinean
Camarinense
Camarinense
Camiguin
Camiguin
Camiguinon
Capiz
Capizian
Capizeño
Capizeño
Capiznon
Catanduanes
Catanduanean
Catandueño
Catandunganon
Cavite
Cavitenian
Caviteño
Caviteño
Cebu
Cebu
Cebuan
Cebuano
Cebuano
Sugbuanon*
Cotabato
Cotabato
Cotabatan
Cotabateño
Cotabateño
Davao de Oro
Golden Davao
Davaoeño
Orocanon
Oroqueño
Davaoeño
Davao del Norte
North Davao
Davaoeño
Davaoeño
Davao del Sur
South Davao
Davaoeño
Davaoeño
Davao Occidental
Western Davao
Davaoeño
Davaoeño
Davao Oriental
Eastern Davao
Davaoeño
Davaoeño
Dinagat Islands
Dinagat
Dinagatan
Dinagatnon
Eastern Samar
Eastern Samarian
Samareño
Eastern Samareño
Samarnon
Guimaras
Guimarasian
Guimarasnon
Ifugao
Ifugao
Ifugao
Igorot
Ilocos Norte
North Ilocos
Ilocano
Ilocano
Ilocos Sur
South Ilocos
Ilocano
Ilocano
Iloilo
Iloilo
Iloiloan
Ilonggo
Ilonggo
Isabela
Isabelan
Isabeleño
Kalinga
Kalingan
Kalinga
La Union
La Unionian
La Ueño
La Ueño
Laguna
Lagunian
Laguneño
Lagunense
Laguneño
Lanao del Norte
North Lanao
Lanaonon
Lanao del Sur
South Lanao
Maranao
Maranao
Leyte
Leytenian
Leyteño
Maguindanao
Maguindanaoan
Maguindanao
Manila
Manilan
Manileño
Manileño
taga-Maynila
Marinduque
Marinduquenian
Marinduqueño
Marinduqueño
Masbate
Masbatenian
Masbateño
Masbateño
Misamis Occidental
West Misamis
Occidental Misamisnon
Misamis Oriental
East Misamis
Oriental Misamisnon
Mountain Province
Mountaineers
Bontoc
Igorot
Negros Occidental
West Negros
Negrense
Occidental Negrense
Negrosanon
Negros Oriental
East Negros
Negrense
Oriental Negrense
Negrosanon
Northern Samar
North Samarian
Samareño
Norte Samareño
Nortehanon*
Nueva Ecija
Nueva Ecijan
Novo Ecijano
Novo Ecijano
Nueva Vizcaya
Nueva Vizcayan
Novo Vizcayano
Novo Vizcayano
Occidental Mindoro
West Mindorenian
Mindoreño
Occidental Mindoreño
Oriental Mindoro
East Mindorenian
Mindoreño
Oriental Mindoreño
Palawan
Palawan
Palaweño
Palaweño
Pampanga
Pampangan
Pampangueño
Pampangueño
Kapampangan*
Pangasinan
Pangasinan
Pangasinense
Pangalatok 2
Quezon
Quezonian
Quezonian
Tayabense 3
Quirino
Quirinian
Quirinian
Rizal
Rizalian
Rizaleño
Rizaleño
Romblon
Romblonian
Romblomanon
Samar
West Samarian
Samareño
Samareño
Samarnon
Sarangani
Sarangan
Sarangan
Siquijor
Siquijorian
Siquijornon
Siquijodnon
Sorsogon
Sorsogonian
Sorsogueño
Sorsogueño
Sorsoganon
South Cotabato
South Cotabatan
South Cotabateño
South Cotabateño
Southern Leyte
Southern Leytenian
Southern Leyteño
Sultan Kudarat
Sultan Kudaratenian
Sultan Kudarateño
Sultan Kudarateño
Sulu
Sulu
Suluan
Suluano
Suluano
Surigao del Norte
North Surigaoan
Surigaonon
Surigao del Sur
South Surigaoan
Surigaonon
Tarlac
Tarlaquenian
Tarlaqueño
Tarlaqueño
Tawi-Tawi
Tawi-Tawian
Tawi-Tawian
Zambales
Zambalean
Zambaleño
Zambaleño
Sambal
Zamboanga del Norte
North Zamboangan
Zamboangueño
Norte Zamboangueño
Zamboanga del Sur
South Zamboangan
Zamboangueño
Zamboangueño
Chavacano*
Zamboanga Sibugay
Sibugay
Sibugaynon
Zamboangueño
